Applicant Name,Funding Band,Alternative Name,Web address,Discipline,Notes,Area,ACE Region,ONS Region,Local Authority
1927,1,1927 Productions Limited,http://www.19-27.co.uk,Theatre,,South East,South East,South East,Thanet
2 Faced Dance Company Limited,1,-,http://www.2faceddance.co.uk,Dance,,Midlands,West Midlands,West Midlands,"Herefordshire, County of"
20 Stories High,1,,http://www.20storieshigh.org.uk/,Theatre,,North,North West,North West,Liverpool
A New Direction London Limited,SSO,,http://www.anewdirection.org.uk,Not discipline specific,Bridge Organisation,London,London,London,Hackney
A Space Arts,1,A Space: Growing Creative Communities Ltd,http://www.aspacearts.org.uk,Visual arts,,South West,South West,South East,Southampton
AA2A Limited,SSO,,http://www.aa2a.org,Visual arts,,National,Yorkshire,Yorkshire and The Humber,Sheffield
Abandon Normal Devices,1,,http://www.andfestival.org.uk,Combined arts,,North,North West,North West,Manchester
Academy of Circus Arts and Physical Theatre t/a Circomedia,1,Academy of Circus Arts and Physical Theatre,http://www.circomedia.com,Theatre,,South West,South West,South West,South Gloucestershire
Access All Areas,1,,http://www.accessallareastheatre.org,Theatre,,London,London,London,Hackney
ACE Dance and music,2,African Cultural Exchange Ltd,http://www.acedanceandmusic.com,Dance,,Midlands,West Midlands,West Midlands,Birmingham
acta community theatre ltd,1,,http://www.acta-bristol.com,Theatre,,South West,South West,South West,"Bristol, City of"
Action Hero,1,,http://www.actionhero.org.uk,Theatre,,South West,South West,South West,"Bristol, City of"
Action Space London Events,1,,http://www.actionspace.org,Visual arts,,London,London,London,Camden
Action Transport Theatre,1,,http://www.actiontransporttheatre.org,Theatre,,North,North West,North West,Cheshire West and Chester
Activate Performing Arts Ltd,2,,http://www.activateperformingarts.org.uk,Combined arts,"Technical Uplift - Organisation delivers biennial festival. For 2015-2018, funding awarded was for one festival. For 2018-2022, the technical uplift is for deliver of two festivals over a four year period.",South West,South West,South West,West Dorset
Actors Touring Company,1,,http://www.atctheatre.com,Theatre,,London,London,London,Westminster
Africa Oye Limited,1,,http://www.africaoye.com,Music,,North,North West,North West,Liverpool
AIR in G (Arts in Rural Gloucestershire) Ltd,1,,http://www.airing.co.uk,Combined arts,,South West,South West,West Midlands,"Herefordshire, County of"
Akademi,1,Akademi South Asian Dance UK,http://www.akademi.co.uk,Dance,,London,London,London,Camden
Akram Khan Dance Company,2,,http://www.akramkhancompany.net,Dance,,London,London,London,Islington
Albatross Arts Project,1,,http://geese.co.uk,Theatre,,Midlands,West Midlands,West Midlands,Birmingham
Almeida Theatre Company Limited,2,,https://almeida.co.uk/,Theatre,,London,London,London,Islington
Amber Film & Photography Collective,1,,http://www.amber-online.com,Visual arts,,North,North East,North East,Newcastle upon Tyne
a-n The Artists Information Company,SSO,,http://www.a-n.co.uk,Visual arts,,National,North East,North East,Newcastle upon Tyne
And Other Stories Publishing CIC,1,,http://www.andotherstories.org,Literature,,North,Yorkshire,Yorkshire and The Humber,Sheffield
Applause Rural Touring,1,,http://www.applause.org.uk,Combined arts,,South East,South East,South East,Tunbridge Wells
Apples and Snakes,2,,http://www.applesandsnakes.org,Literature,,London,London,London,Lewisham
Arcola Theatre Production Company,2,,http://www.arcolatheatre.com,Theatre,,London,London,London,Hackney
Arena Theatre (University of Wolverhampton),1,University of Wolverhampton (Arena Theatre),http://arena.wlv.ac.uk,Combined arts,,Midlands,West Midlands,West Midlands,Wolverhampton
Art Asia Trust Limited,1,,http://www.artasia.org.uk,Theatre,,South West,South West,South East,Southampton
Art Gene Limited,1,,http://www.artgene.co.uk,Visual arts,,North,North West,North West,Barrow-in-Furness
Art Monthly,1,Britannia Art Publications Ltd,http://www.artmonthly.co.uk,Visual arts,,London,London,London,Westminster
Art Services Grants Ltd,1,,http://www.spacestudios.org.uk,Visual arts,,London,London,London,Hackney
Artcore,1,,http://www.artcoreuk.com/,Visual arts,,Midlands,East Midlands,East Midlands,Derby
