Applicant Name,Funding Band,Funding Source (GIA or LOT),Funding Source Description,Funding Band Description,Portfolio funded in 2015-18?,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
1927,1,LOT,National Lottery,Band 1,False,False,False,False,False
2 Faced Dance Company Limited,1,LOT,National Lottery,Band 1,True,False,False,False,False
20 Stories High,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
A New Direction London Limited,SSO,LOT,National Lottery,Sector Support Organisation,True,True,False,False,False
A Space Arts,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
AA2A Limited,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Abandon Normal Devices,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Academy of Circus Arts and Physical Theatre t/a Circomedia,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Access All Areas,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
ACE Dance and music,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
acta community theatre ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Action Hero,1,LOT,National Lottery,Band 1,False,False,False,False,False
Action Space London Events,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Action Transport Theatre,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Activate Performing Arts Ltd,2,GIA,Grant in Aid,Band 2,True,False,True,False,False
Actors Touring Company,1,LOT,National Lottery,Band 1,True,False,False,False,False
Africa Oye Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
AIR in G (Arts in Rural Gloucestershire) Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Akademi,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Akram Khan Dance Company,2,LOT,National Lottery,Band 2,True,False,False,False,False
Albatross Arts Project,1,LOT,National Lottery,Band 1,True,False,False,False,False
Almeida Theatre Company Limited,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Amber Film & Photography Collective,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
a-n The Artists Information Company,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,False
And Other Stories Publishing CIC,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Applause Rural Touring,1,LOT,National Lottery,Band 1,False,False,False,False,False
Apples and Snakes,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Arcola Theatre Production Company,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Arena Theatre (University of Wolverhampton),1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Art Asia Trust Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Art Gene Limited,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Art Monthly,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Art Services Grants Ltd,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Artcore,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Artichoke Trust,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Artlink Hull,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Artlink West Yorkshire,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
ArtReach (Trust) Ltd,2,GIA,Grant in Aid,Band 2,False,False,False,False,False
Arts & Health South West,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Arts & Health South West,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Arts & Heritage (PHC) Plymouth City Council,3,GIA,Grant in Aid,Band 3,False,False,False,False,False
Arts Alive,1,LOT,National Lottery,Band 1,True,False,False,False,False
Arts Catalyst,1,LOT,National Lottery,Band 1,True,False,False,False,False
Arts Connect (University of Wolverhampton),SSO,LOT,National Lottery,Sector Support Organisation,True,True,False,False,False
Arts Marketing Association,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Arts&Heritage,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Artsadmin,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Artsreach,1,LOT,National Lottery,Band 1,True,False,False,False,False
Artswork,SSO,LOT,National Lottery,Sector Support Organisation,True,True,False,False,False
Artworks Creative Communities,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Arvon Foundation,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Asian Arts Agency,2,LOT,National Lottery,Band 2,True,False,False,False,False
Aspex Visual Arts Trust,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Association for Cultural Enterprises,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Association of Independent Museums,SSO,GIA,Grant in Aid,Sector Support Organisation,False,False,False,False,False
Attitude is Everything,SSO,GIA,Grant in Aid,Sector Support Organisation,True,False,False,False,False
Aurora Orchestra,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Auto Italia,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Autograph ABP,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Avant Garde Dance Company,1,LOT,National Lottery,Band 1,False,False,False,False,False
B3 Media Limited,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Baby People,1,GIA,Grant in Aid,Band 1,True,False,False,False,False
Backlit,1,GIA,Grant in Aid,Band 1,False,False,False,False,False
Balbir Singh Dance Company,1,LOT,National Lottery,Band 1,True,False,False,False,False
Ballet Black,1,LOT,National Lottery,Band 1,False,False,False,False,False
Ballet Lorent Limited,2,LOT,National Lottery,Band 2,True,False,False,False,False
BalletBoyz Ltd,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
Baltic Flour Mills Visual Arts Trust,3,GIA,Grant in Aid,Band 3,True,False,False,False,False
Bamboozle Theatre Company,1,LOT,National Lottery,Band 1,False,False,False,False,False
Barbican Centre,2,GIA,Grant in Aid,Band 2,True,False,False,False,False
"Barbican Theatre, Plymouth",1,GIA,Grant in Aid,Band 1,True,False,False,False,False
