Applicant Name,Funding Band,Year,Amount,Period,Type
1927,1,2015,0,2015-2018,Fund
2 Faced Dance Company Limited,1,2015,192000,2015-2018,Fund
20 Stories High,1,2015,162905,2015-2018,Fund
A New Direction London Limited,SSO,2015,1506375,2015-2018,Fund
A Space Arts,1,2015,0,2015-2018,Fund
AA2A Limited,SSO,2015,0,2015-2018,Fund
Abandon Normal Devices,1,2015,135000,2015-2018,Fund
Academy of Circus Arts and Physical Theatre t/a Circomedia,1,2015,106552,2015-2018,Fund
Access All Areas,1,2015,0,2015-2018,Fund
ACE Dance and music,2,2015,221966,2015-2018,Fund
acta community theatre ltd,1,2015,80000,2015-2018,Fund
Action Hero,1,2015,0,2015-2018,Fund
Action Space London Events,1,2015,73416,2015-2018,Fund
Action Transport Theatre,1,2015,120696,2015-2018,Fund
Activate Performing Arts Ltd,2,2015,251422,2015-2018,Fund
Actors Touring Company,1,2015,207773,2015-2018,Fund
Africa Oye Limited,1,2015,163448,2015-2018,Fund
AIR in G (Arts in Rural Gloucestershire) Ltd,1,2015,42243,2015-2018,Fund
Akademi,1,2015,215000,2015-2018,Fund
Akram Khan Dance Company,2,2015,500610,2015-2018,Fund
Albatross Arts Project,1,2015,40231,2015-2018,Fund
Almeida Theatre Company Limited,2,2015,675499,2015-2018,Fund
Amber Film & Photography Collective,1,2015,0,2015-2018,Fund
a-n The Artists Information Company,SSO,2015,212754,2015-2018,Fund
And Other Stories Publishing CIC,1,2015,40000,2015-2018,Fund
Applause Rural Touring,1,2015,0,2015-2018,Fund
Apples and Snakes,2,2015,455000,2015-2018,Fund
Arcola Theatre Production Company,2,2015,301738,2015-2018,Fund
Arena Theatre (University of Wolverhampton),1,2015,110068,2015-2018,Fund
Art Asia Trust Limited,1,2015,95827,2015-2018,Fund
Art Gene Limited,1,2015,0,2015-2018,Fund
Art Monthly,1,2015,40232,2015-2018,Fund
Art Services Grants Ltd,1,2015,221221,2015-2018,Fund
Artcore,1,2015,0,2015-2018,Fund
Artichoke Trust,2,2015,468134,2015-2018,Fund
Artlink Hull,1,2015,65347,2015-2018,Fund
Artlink West Yorkshire,1,2015,60406,2015-2018,Fund
ArtReach (Trust) Ltd,2,2015,0,2015-2018,Fund
Arts & Health South West,1,2015,40000,2015-2018,Fund
Arts & Health South West,SSO,2015,0,2015-2018,Fund
Arts & Heritage (PHC) Plymouth City Council,3,2015,0,2015-2018,Fund
Arts Alive,1,2015,58781,2015-2018,Fund
Arts Catalyst,1,2015,130000,2015-2018,Fund
Arts Connect (University of Wolverhampton),SSO,2015,1089890,2015-2018,Fund
Arts Marketing Association,SSO,2015,0,2015-2018,Fund
Arts&Heritage,SSO,2015,0,2015-2018,Fund
Artsadmin,2,2015,533072,2015-2018,Fund
Artsreach,1,2015,55319,2015-2018,Fund
Artswork,SSO,2015,1519397,2015-2018,Fund
Artworks Creative Communities,1,2015,57496,2015-2018,Fund
Arvon Foundation,2,2015,388267,2015-2018,Fund
Asian Arts Agency,2,2015,280870,2015-2018,Fund
Aspex Visual Arts Trust,1,2015,112117,2015-2018,Fund
Association for Cultural Enterprises,SSO,2015,0,2015-2018,Fund
Association of Independent Museums,SSO,2015,0,2015-2018,Fund
Attitude is Everything,SSO,2015,208606,2015-2018,Fund
Aurora Orchestra,1,2015,91829,2015-2018,Fund
Auto Italia,1,2015,50290,2015-2018,Fund
Autograph ABP,2,2015,700000,2015-2018,Fund
Avant Garde Dance Company,1,2015,0,2015-2018,Fund
B3 Media Limited,1,2015,180000,2015-2018,Fund
Baby People,1,2015,48418,2015-2018,Fund
Backlit,1,2015,0,2015-2018,Fund
Balbir Singh Dance Company,1,2015,150460,2015-2018,Fund
Ballet Black,1,2015,0,2015-2018,Fund
Ballet Lorent Limited,2,2015,239566,2015-2018,Fund
