Applicant Name,Funding Band,Alternative Name,Area,ACE Region,ONS Region,Discipline,Portfolio funded in 2015-18?,Portfolio funding 15/16 - £,Portfolio funding 16/17 - £,Portfolio funding 17/18 - £,TOTAL Portfolio funding 15/18 - £,Portfolio grant 18/19 - £,Portfolio grant 19/20 - £,Portfolio grant 20/21 - £,Portfolio grant 21/22 - £,TOTAL Portfolio grant 18/22 - £,Funding Source (GIA or LOT),% Cash change between 17/18 and 18/19,Notes,Local Authority,Web address,Funding Source Description,Funding Band Description,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
1927,1,1927 Productions Limited,South East,South East,South East,Theatre,False,0,0,0,0,217000,217000,217000,217000,868000,LOT,,,Thanet,http://www.19-27.co.uk,National Lottery,Band 1,False,False,False,False
2 Faced Dance Company Limited,1,-,Midlands,West Midlands,West Midlands,Dance,True,192000,192000,192000,576000,192000,192000,192000,192000,768000,LOT,0,,"Herefordshire, County of",http://www.2faceddance.co.uk,National Lottery,Band 1,False,False,False,False
20 Stories High,1,,North,North West,North West,Theatre,True,162905,162905,162905,488716,211905,211905,211905,211905,847620,GIA,0.3007849566941544,,Liverpool,http://www.20storieshigh.org.uk/,Grant in Aid,Band 1,False,False,False,False
A New Direction London Limited,SSO,,London,London,London,Not discipline specific,True,1506375,1506375,1506375,4519125,1506375,1506375,1506375,1506375,6025500,LOT,0,Bridge Organisation,Hackney,http://www.anewdirection.org.uk,National Lottery,Sector Support Organisation,True,False,False,False
A Space Arts,1,A Space: Growing Creative Communities Ltd,South West,South West,South East,Visual arts,False,0,0,0,0,100000,100000,100000,100000,400000,GIA,,,Southampton,http://www.aspacearts.org.uk,Grant in Aid,Band 1,False,False,False,False
AA2A Limited,SSO,,National,Yorkshire,Yorkshire and The Humber,Visual arts,False,0,0,0,0,40000,40000,40000,40000,160000,GIA,,,Sheffield,http://www.aa2a.org,Grant in Aid,Sector Support Organisation,False,False,False,False
Abandon Normal Devices,1,,North,North West,North West,Combined arts,True,135000,135000,135000,405000,135000,135000,135000,135000,540000,GIA,0,,Manchester,http://www.andfestival.org.uk,Grant in Aid,Band 1,False,False,False,False
Academy of Circus Arts and Physical Theatre t/a Circomedia,1,Academy of Circus Arts and Physical Theatre,South West,South West,South West,Theatre,True,106552,106552,106552,319656,106552,106552,106552,106552,426208,GIA,0,,South Gloucestershire,http://www.circomedia.com,Grant in Aid,Band 1,False,False,False,False
Access All Areas,1,,London,London,London,Theatre,False,0,0,0,0,125000,125000,125000,125000,500000,GIA,,,Hackney,http://www.accessallareastheatre.org,Grant in Aid,Band 1,False,False,False,False
ACE Dance and music,2,African Cultural Exchange Ltd,Midlands,West Midlands,West Midlands,Dance,True,221966,221966,221966,665899,397996,397996,397996,397996,1591984,GIA,0.7930462759020964,,Birmingham,http://www.acedanceandmusic.com,Grant in Aid,Band 2,False,False,False,False
acta community theatre ltd,1,,South West,South West,South West,Theatre,True,80000,80000,80000,240000,80000,80000,80000,80000,320000,GIA,0,,"Bristol, City of",http://www.acta-bristol.com,Grant in Aid,Band 1,False,False,False,False
Action Hero,1,,South West,South West,South West,Theatre,False,0,0,0,0,92000,92000,92000,92000,368000,LOT,,,"Bristol, City of",http://www.actionhero.org.uk,National Lottery,Band 1,False,False,False,False
Action Space London Events,1,,London,London,London,Visual arts,True,73416,73416,73416,220248,88416,88416,88416,88416,353664,GIA,0.20431513566525009,,Camden,http://www.actionspace.org,Grant in Aid,Band 1,False,False,False,False
