Applicant Name,Funding Band,Amount,Year,Period,Type
1927,1,0,2015,2015-2018,Fund
2 Faced Dance Company Limited,1,192000,2015,2015-2018,Fund
20 Stories High,1,162905,2015,2015-2018,Fund
A New Direction London Limited,SSO,1506375,2015,2015-2018,Fund
A Space Arts,1,0,2015,2015-2018,Fund
AA2A Limited,SSO,0,2015,2015-2018,Fund
Abandon Normal Devices,1,135000,2015,2015-2018,Fund
Academy of Circus Arts and Physical Theatre t/a Circomedia,1,106552,2015,2015-2018,Fund
Access All Areas,1,0,2015,2015-2018,Fund
ACE Dance and music,2,221966,2015,2015-2018,Fund
acta community theatre ltd,1,80000,2015,2015-2018,Fund
Action Hero,1,0,2015,2015-2018,Fund
Action Space London Events,1,73416,2015,2015-2018,Fund
Action Transport Theatre,1,120696,2015,2015-2018,Fund
Activate Performing Arts Ltd,2,251422,2015,2015-2018,Fund
Actors Touring Company,1,207773,2015,2015-2018,Fund
Africa Oye Limited,1,163448,2015,2015-2018,Fund
AIR in G (Arts in Rural Gloucestershire) Ltd,1,42243,2015,2015-2018,Fund
Akademi,1,215000,2015,2015-2018,Fund
Akram Khan Dance Company,2,500610,2015,2015-2018,Fund
Albatross Arts Project,1,40231,2015,2015-2018,Fund
Almeida Theatre Company Limited,2,675499,2015,2015-2018,Fund
Amber Film & Photography Collective,1,0,2015,2015-2018,Fund
a-n The Artists Information Company,SSO,212754,2015,2015-2018,Fund
And Other Stories Publishing CIC,1,40000,2015,2015-2018,Fund
Applause Rural Touring,1,0,2015,2015-2018,Fund
Apples and Snakes,2,455000,2015,2015-2018,Fund
Arcola Theatre Production Company,2,301738,2015,2015-2018,Fund
Arena Theatre (University of Wolverhampton),1,110068,2015,2015-2018,Fund
Art Asia Trust Limited,1,95827,2015,2015-2018,Fund
Art Gene Limited,1,0,2015,2015-2018,Fund
Art Monthly,1,40232,2015,2015-2018,Fund
Art Services Grants Ltd,1,221221,2015,2015-2018,Fund
Artcore,1,0,2015,2015-2018,Fund
Artichoke Trust,2,468134,2015,2015-2018,Fund
Artlink Hull,1,65347,2015,2015-2018,Fund
Artlink West Yorkshire,1,60406,2015,2015-2018,Fund
ArtReach (Trust) Ltd,2,0,2015,2015-2018,Fund
Arts & Health South West,1,40000,2015,2015-2018,Fund
Arts & Health South West,SSO,0,2015,2015-2018,Fund
Arts & Heritage (PHC) Plymouth City Council,3,0,2015,2015-2018,Fund
Arts Alive,1,58781,2015,2015-2018,Fund
Arts Catalyst,1,130000,2015,2015-2018,Fund
Arts Connect (University of Wolverhampton),SSO,1089890,2015,2015-2018,Fund
Arts Marketing Association,SSO,0,2015,2015-2018,Fund
Arts&Heritage,SSO,0,2015,2015-2018,Fund
Artsadmin,2,533072,2015,2015-2018,Fund
Artsreach,1,55319,2015,2015-2018,Fund
Artswork,SSO,1519397,2015,2015-2018,Fund
Artworks Creative Communities,1,57496,2015,2015-2018,Fund
Arvon Foundation,2,388267,2015,2015-2018,Fund
Asian Arts Agency,2,280870,2015,2015-2018,Fund
Aspex Visual Arts Trust,1,112117,2015,2015-2018,Fund
Association for Cultural Enterprises,SSO,0,2015,2015-2018,Fund
Association of Independent Museums,SSO,0,2015,2015-2018,Fund
Attitude is Everything,SSO,208606,2015,2015-2018,Fund
Aurora Orchestra,1,91829,2015,2015-2018,Fund
