Applicant Name,Funding Band,Alternative Name,Web address,Local Authority,Area,ACE Region,ONS Region,Funding Source (GIA or LOT),Funding Source Description,Funding Band Description,Discipline,Portfolio funded in 2015-18?,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
1927,1,1927 Productions Limited,http://www.19-27.co.uk,Thanet,South East,South East,South East,LOT,National Lottery,Band 1,Theatre,False,False,False,False,False
2 Faced Dance Company Limited,1,-,http://www.2faceddance.co.uk,"Herefordshire, County of",Midlands,West Midlands,West Midlands,LOT,National Lottery,Band 1,Dance,True,False,False,False,False
20 Stories High,1,,http://www.20storieshigh.org.uk/,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
A New Direction London Limited,SSO,,http://www.anewdirection.org.uk,Hackney,London,London,London,LOT,National Lottery,Sector Support Organisation,Not discipline specific,True,True,False,False,False
A Space Arts,1,A Space: Growing Creative Communities Ltd,http://www.aspacearts.org.uk,Southampton,South West,South West,South East,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
AA2A Limited,SSO,,http://www.aa2a.org,Sheffield,National,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Sector Support Organisation,Visual arts,False,False,False,False,False
Abandon Normal Devices,1,,http://www.andfestival.org.uk,Manchester,North,North West,North West,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Academy of Circus Arts and Physical Theatre t/a Circomedia,1,Academy of Circus Arts and Physical Theatre,http://www.circomedia.com,South Gloucestershire,South West,South West,South West,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Access All Areas,1,,http://www.accessallareastheatre.org,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Theatre,False,False,False,False,False
ACE Dance and music,2,African Cultural Exchange Ltd,http://www.acedanceandmusic.com,Birmingham,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 2,Dance,True,False,False,False,False
acta community theatre ltd,1,,http://www.acta-bristol.com,"Bristol, City of",South West,South West,South West,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Action Hero,1,,http://www.actionhero.org.uk,"Bristol, City of",South West,South West,South West,LOT,National Lottery,Band 1,Theatre,False,False,False,False,False
Action Space London Events,1,,http://www.actionspace.org,Camden,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Action Transport Theatre,1,,http://www.actiontransporttheatre.org,Cheshire West and Chester,North,North West,North West,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Activate Performing Arts Ltd,2,,http://www.activateperformingarts.org.uk,West Dorset,South West,South West,South West,GIA,Grant in Aid,Band 2,Combined arts,True,False,True,False,False
Actors Touring Company,1,,http://www.atctheatre.com,Westminster,London,London,London,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Africa Oye Limited,1,,http://www.africaoye.com,Liverpool,North,North West,North West,GIA,Grant in Aid,Band 1,Music,True,False,False,False,False
AIR in G (Arts in Rural Gloucestershire) Ltd,1,,http://www.airing.co.uk,"Herefordshire, County of",South West,South West,West Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Akademi,1,Akademi South Asian Dance UK,http://www.akademi.co.uk,Camden,London,London,London,GIA,Grant in Aid,Band 1,Dance,True,False,False,False,False
Akram Khan Dance Company,2,,http://www.akramkhancompany.net,Islington,London,London,London,LOT,National Lottery,Band 2,Dance,True,False,False,False,False
Albatross Arts Project,1,,http://geese.co.uk,Birmingham,Midlands,West Midlands,West Midlands,LOT,National Lottery,Band 1,Theatre,True,False,False,False,False
Almeida Theatre Company Limited,2,,https://almeida.co.uk/,Islington,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Amber Film & Photography Collective,1,,http://www.amber-online.com,Newcastle upon Tyne,North,North East,North East,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
a-n The Artists Information Company,SSO,,http://www.a-n.co.uk,Newcastle upon Tyne,National,North East,North East,GIA,Grant in Aid,Sector Support Organisation,Visual arts,True,False,False,False,False
And Other Stories Publishing CIC,1,,http://www.andotherstories.org,Sheffield,North,Yorkshire,Yorkshire and The Humber,GIA,Grant in Aid,Band 1,Literature,True,False,False,False,False
Applause Rural Touring,1,,http://www.applause.org.uk,Tunbridge Wells,South East,South East,South East,LOT,National Lottery,Band 1,Combined arts,False,False,False,False,False
Apples and Snakes,2,,http://www.applesandsnakes.org,Lewisham,London,London,London,GIA,Grant in Aid,Band 2,Literature,True,False,False,False,False
Arcola Theatre Production Company,2,,http://www.arcolatheatre.com,Hackney,London,London,London,GIA,Grant in Aid,Band 2,Theatre,True,False,False,False,False
Arena Theatre (University of Wolverhampton),1,University of Wolverhampton (Arena Theatre),http://arena.wlv.ac.uk,Wolverhampton,Midlands,West Midlands,West Midlands,GIA,Grant in Aid,Band 1,Combined arts,True,False,False,False,False
Art Asia Trust Limited,1,,http://www.artasia.org.uk,Southampton,South West,South West,South East,GIA,Grant in Aid,Band 1,Theatre,True,False,False,False,False
Art Gene Limited,1,,http://www.artgene.co.uk,Barrow-in-Furness,North,North West,North West,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
Art Monthly,1,Britannia Art Publications Ltd,http://www.artmonthly.co.uk,Westminster,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Art Services Grants Ltd,1,,http://www.spacestudios.org.uk,Hackney,London,London,London,GIA,Grant in Aid,Band 1,Visual arts,True,False,False,False,False
Artcore,1,,http://www.artcoreuk.com/,Derby,Midlands,East Midlands,East Midlands,GIA,Grant in Aid,Band 1,Visual arts,False,False,False,False,False
